# North America
US,CA
US,MX
CA,US

# Mexico and Central America
MX,US
MX,GT
MX,BZ
GT,MX
GT,BZ
GT,SV
GT,HN
BZ,MX
BZ,GT
SV,GT
SV,HN
HN,GT
HN,SV
HN,NI
NI,HN
NI,CR
CR,NI
CR,PA
PA,CR
PA,CO

# Caribbean (maritime neighbors)
CU,US
CU,MX
CU,JM
CU,HT
DO,HT
JM,CU

# South America
CO,PA
CO,VE
CO,BR
CO,PE
CO,EC
VE,CO
VE,GY
VE,BR
GY,VE
GY,SR
GY,BR
SR,GY
SR,BR
SR,FR
BR,CO
BR,VE
BR,GY
BR,SR
BR,UY
BR,AR
BR,PY
BR,BO
BR,PE
UY,BR
UY,AR
AR,BR
AR,UY
AR,PY
AR,BO
AR,CL
PY,BR
PY,AR
PY,BO
BO,BR
BO,PY
BO,AR
BO,CL
BO,PE
CL,AR
CL,BO
CL,PE
PE,CO
PE,EC
PE,BR
PE,BO
PE,CL
EC,CO
EC,PE

# Europe - Western
GB,IE
IE,GB
FR,GB
FR,BE
FR,LU
FR,DE
FR,CH
FR,IT
FR,ES
FR,AD
BE,FR
BE,NL
BE,DE
BE,LU
NL,BE
NL,DE
LU,FR
LU,BE
LU,DE
DE,FR
DE,BE
DE,NL
DE,LU
DE,CH
DE,AT
DE,CZ
DE,PL
DE,DK
CH,FR
CH,DE
CH,AT
CH,IT
CH,LI
AT,DE
AT,CH
AT,IT
AT,SI
AT,HU
AT,SK
AT,CZ
IT,FR
IT,CH
IT,AT
IT,SI
IT,SM
IT,VA
ES,FR
ES,PT
ES,AD
ES,MA
PT,ES
AD,FR
AD,ES

# Europe - Nordic
DK,DE
DK,SE
SE,DK
SE,NO
SE,FI
NO,SE
NO,FI
NO,RU
FI,SE
FI,NO
FI,RU
FI,EE
EE,FI
EE,LV
EE,RU
LV,EE
LV,LT
LV,RU
LV,BY
LT,LV
LT,PL
LT,BY
LT,RU

# Europe - Central and Eastern
PL,DE
PL,CZ
PL,SK
PL,UA
PL,BY
PL,LT
PL,RU
CZ,DE
CZ,AT
CZ,SK
CZ,PL
SK,CZ
SK,AT
SK,HU
SK,PL
SK,UA
HU,AT
HU,SK
HU,UA
HU,RO
HU,RS
HU,HR
HU,SI
SI,AT
SI,IT
SI,HU
SI,HR
HR,SI
HR,HU
HR,RS
HR,BA
HR,ME
RS,HU
RS,RO
RS,BG
RS,MK
RS,AL
RS,ME
RS,BA
RS,HR
RO,HU
RO,RS
RO,BG
RO,MD
RO,UA
BG,RO
BG,RS
BG,MK
BG,GR
BG,TR
MK,RS
MK,BG
MK,GR
MK,AL
AL,RS
AL,MK
AL,GR
AL,ME
ME,RS
ME,HR
ME,BA
ME,AL
BA,HR
BA,RS
BA,ME
GR,BG
GR,MK
GR,AL
GR,TR
UA,PL
UA,SK
UA,HU
UA,RO
UA,MD
UA,BY
UA,RU
MD,RO
MD,UA
BY,LT
BY,LV
BY,PL
BY,UA
BY,RU
RU,NO
RU,FI
RU,EE
RU,LV
RU,LT
RU,PL
RU,BY
RU,UA
RU,GE
RU,AZ
RU,KZ
RU,CN
RU,MN
RU,KP

# Asia - Middle East
TR,BG
TR,GR
TR,GE
TR,AM
TR,AZ
TR,IR
TR,IQ
TR,SY
GE,RU
GE,TR
GE,AM
GE,AZ
AM,TR
AM,GE
AM,AZ
AM,IR
AZ,RU
AZ,GE
AZ,AM
AZ,TR
AZ,IR
IR,TR
IR,AM
IR,AZ
IR,IQ
IR,AF
IR,PK
IQ,TR
IQ,IR
IQ,KW
IQ,SA
IQ,JO
IQ,SY
SY,TR
SY,IQ
SY,JO
SY,LB
SY,IL
JO,IQ
JO,SY
JO,IL
JO,SA
LB,SY
LB,IL
IL,SY
IL,LB
IL,JO
IL,EG
SA,IQ
SA,JO
SA,KW
SA,QA
SA,AE
SA,OM
SA,YE
KW,IQ
KW,SA
QA,SA
QA,AE
AE,SA
AE,QA
AE,OM
OM,SA
OM,AE
OM,YE
YE,SA
YE,OM

# Asia - Central
KZ,RU
KZ,CN
KZ,KG
KZ,UZ
KZ,TM
KG,KZ
KG,CN
KG,TJ
KG,UZ
UZ,KZ
UZ,KG
UZ,TJ
UZ,AF
UZ,TM
TJ,KG
TJ,UZ
TJ,AF
TJ,CN
TM,KZ
TM,UZ
TM,AF
TM,IR
AF,IR
AF,PK
AF,TJ
AF,UZ
AF,TM
AF,CN

# Asia - South
PK,IR
PK,AF
PK,CN
PK,IN
